ingredient_id,name
1,"sour cream"
2,ranch
3,"ground beef"
4,potatoes
5,"peanut butter"
6,honey
7,cereal
8,pasta
9,tomatoes
10,lettuce
11,chicken
12,rice
13,broccoli
14,cauliflower
15,"brussel sprouts"
16,spinach
17,aritchoke
18,eggs
19,beef
20,pork
21,strawberries
22,olives
23,marshmallows
24,"cocoa powder"
25,"tomato paste"
26,breadcrumbs
27,cheddar
28,parmesan
29,mozzarella
30,tortillas
31,"pickeled herring"
32,salmon
33,shrimp
34,halibut
35,lentils
36,milk
37,lemon
38,bacon
39,mushrooms
40,"bell pepper"
41,onions
42,corn
43,peas
44,carrots
45,lime
46,okra
47,kale
48,apples
49,coconut
50,cashews
51,peanuts
52,"sunflower seeds"
53,asparagus
54,"green beans"
55,broth
56,jalapeno
57,avocado
58,squash
